AeroDyn airfoil file.  Compatible with AeroDyn v13.0.
SERI 819 Hydrofoil.  Clean surface data.  Calculated by XFOIL. 
Viterna Extended with AR=7, Fourth column is the minimum pressure coefficient.
  5           Number of airfoil tables in this file
0.5           Table ID parameter (Reynolds number in millions).
  14.5        Stall angle (deg)
  0           Zero lift angle of attack (deg)
  0           Cn slope for zero lift (dimensionless)
  0           Cn at stall value for positive angle of attack
  0           Cn at stall value for negative angle of attack
  0           Angle of attack for minimum CD (deg)
  0           Minimum CD value
-75	-0.3220	1.1400	-1
-70	-0.4210	1.0752	-1
-65	-0.5115	0.9962	-1
-60	-0.5915	0.9052	-1
-55	-0.6595	0.8051	-1
-50	-0.7149	0.6987	-1
-45	-0.7578	0.5892	-1
-40	-0.7897	0.4800	-1
-35	-0.8133	0.3742	-1
-30	-0.8341	0.2751	-1
-28	-0.8434	0.2379	-1
-26	-0.8546	0.2025	-1
-24	-0.8689	0.1690	-1
-22	-0.8877	0.1376	-1
-20	-0.9132	0.1083	-1
-18	-0.9484	0.0814	-1
-16	-0.9979	0.0570	-1
-15	-1.0301	0.0457	-1
-14	-1.0809	0.0376	-4.221
-13.5	-1.1066	0.0309	-4.151
-13	-1.1154	0.0252	-4.011
-12.5	-1.0839	0.0200	-3.762
-12	-1.0601	0.0142	-3.587
-11.5	-1.0619	0.0113	-3.424
-11	-1.0486	0.0088	-3.243
-10.5	-0.9987	0.0083	-2.969
-10	-0.9456	0.0081	-2.697
-9.5	-0.8923	0.0080	-2.422
-9	-0.8363	0.0080	-2.271
-8.5	-0.7809	0.0078	-2.196
-8	-0.7235	0.0077	-2.12
-7.5	-0.6656	0.0076	-2.043
-7	-0.6080	0.0075	-1.969
-6.5	-0.5502	0.0074	-1.894
-6	-0.4920	0.0073	-1.818
-5.5	-0.4339	0.0073	-1.744
-5	-0.3760	0.0073	-1.671
-4.5	-0.3177	0.0072	-1.598
-4	-0.2588	0.0072	-1.526
-3.5	-0.1998	0.0072	-1.455
-3	-0.1409	0.0071	-1.386
-2.5	-0.0820	0.0071	-1.317
-2	-0.0230	0.0071	-1.251
-1.5	0.0357	0.0071	-1.186
-1	0.0942	0.0071	-1.121
-0.5	0.1527	0.0072	-1.056
0	0.2112	0.0072	-0.993
0.5	0.2696	0.0073	-0.959
1	0.3279	0.0074	-1.019
1.5	0.3861	0.0074	-1.08
2	0.4444	0.0075	-1.143
2.5	0.5025	0.0076	-1.208
3	0.5604	0.0077	-1.274
4.5	0.7321	0.0081	-1.483
5	0.7888	0.0082	-1.567
5.5	0.8455	0.0084	-1.661
6	0.9015	0.0085	-1.76
6.5	0.9571	0.0087	-1.866
7	1.0121	0.0089	-1.981
7.5	1.0662	0.0091	-2.101
8	1.1193	0.0094	-2.241
8.5	1.1701	0.0098	-2.457
9.5	1.2633	0.0108	-2.951
10.5	1.3358	0.0122	-3.452
11	1.3664	0.0130	-3.754
11.5	1.3948	0.0140	-4.041
12	1.4212	0.0150	-4.34
12.5	1.4444	0.0162	-4.626
13	1.4623	0.0177	-4.904
14	1.4857	0.0217	-5.442
14.5	1.4971	0.0244	-5.731
15	1.5054	0.0277	-5.971
15.5	1.5099	0.0317	-6.205
16	1.5142	0.0360	-6.429
16.5	1.5139	0.0411	-6.65
17	1.5122	0.0468	-6.86
17.5	1.5081	0.0531	-7.029
18	1.4996	0.0602	-7.229
18.5	1.4908	0.0678	-7.359
19	1.4796	0.0760	-7.541
19.5	1.4662	0.0848	-7.678
20	1.4520	0.0939	-7.762
21	1.2740	0.1023	-1
22	1.2411	0.1173	-1
24	1.1849	0.1491	-1
26	1.1384	0.1829	-1
28	1.0992	0.2187	-1
30	1.0651	0.2562	-1
35	0.9935	0.3563	-1
40	0.9303	0.4632	-1
45	0.8667	0.5738	-1
50	0.7979	0.6846	-1
